gestora;titulo;subtitulo;url;alvo;classificacao;interesse;resposta_modelo;texto;descricao;justificativa_alvo
Xp Investimentos;Mercado de ETFs deve multiplicar valor no próximo ciclo de alta da Bolsa, diz sócio da XP Asset – Tempo Real – Estadão E-Investidor – As principais notícias do mercado financeiro;Segundo gestor, mercado brasileiro de ETFs ainda está abaixo do potencial global e pode crescer até 10 vezes mais;https://einvestidor.estadao.com.br/ultimas/fundos-etf-multiplicar-valor-bull-market-bolsa-xp-asset/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;Otimismo com Bolsa brasileira cresce entre os gestores à medida que juros caem nos EUA, diz XP – Direto da Faria Lima – Estadão E-Investidor – As principais notícias do mercado financeiro;O otimismo dos gestores da Faria Lima com a Bolsa de Valores brasileira cresce à medida que os juros começam a cair nos Estados Unidos.;https://einvestidor.estadao.com.br/direto-da-faria-lima/bolsa-de-valores-brasil-otimismo-juros-selic/?amp;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;"Renda fixa hoje: CDBs pagam até 14,65%; veja outras taxas nesta terça (16) na XP";Veja as taxas da Renda Fixa hoje, 16 de setembro de 2025, em investimentos prefixados, pós-fixados e híbridos.;https://www.infomoney.com.br/onde-investir/renda-fixa-hoje-16092025/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;Fed deve cortar os juros, mas e depois? Há divergências entre pausa e novas reduções;Economistas avaliam que Federal Reserve já tem respaldo para corte, mas divergem se corte será contínuo ou intercalado por pausas.;https://www.infomoney.com.br/economia/corte-juros-fed-economia-projecoes/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;"CDBs do Banco Master têm nova disparada e taxas chegam a 190% do CDI ao ano; vale a pena? | CDB | Valor Investe";Duas semanas atrás, as taxas dos CDBs do Master haviam saltado de uma média de 120%, 130% para 177% do CDI ao ano, em meio à dificuldade de clientes da corretora de venderem esses títulos no mercado secundário;https://valorinveste.globo.com/produtos/renda-fixa/cdb/noticia/2025/09/16/cdbs-do-banco-master-tem-nova-disparada-e-taxas-chegam-a-190percent-do-cdi-ao-ano-vale-a-pena.ghtml;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;PRIO, Cogna, Suzano, Copasa, Santander e mais ações para acompanhar nesta terça-feira;Confira os principais destaques do noticiário corporativo desta terça-feira (16);https://www.infomoney.com.br/mercados/prio-cogna-suzano-copasa-santander-e-mais-acoes-para-acompanhar-nesta-terca-feira/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;B3 lança programa para especialização de assessores em BDRs, ETFs e FIIs;Certificação do curso da B3 é reconhecida pela Ancord e pelo PQO reforça a importância da educação financeira.;https://www.infomoney.com.br/advisor/b3-lanca-programa-para-especializacao-de-assessores-em-bdrs-etfs-e-fiis/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;Copom deve manter Selic e projeção de gestores aponta juro em 12,25% ao fim de 2026;Pesquisa Pré-Copom da XP: aposta em corte de juros nos EUA, as posições dos investidores no Brasil e projeção da Selic em 12,25% em 2026;https://www.infomoney.com.br/economia/xp-corte-juros-eua-real-selic/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;Natura acerta venda de outro ativo e ação sobe: grande passo para limpar portfólio?;Analistas veem movimento para venda da Avon em países da América Central como positivo, mas alguns veem passo como não muito significativo;https://www.infomoney.com.br/mercados/natura-acerta-venda-de-outro-ativo-e-acao-sobe-grande-passo-para-limpar-portfolio/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;"Banco do Brasil (BBAS3): XP corta preço-alvo em R$ 7; entenda";A XP reduziu na semana passada as projeções para o preço-alvo das ações do Banco do Brasil (BBAS3). Clique e saiba mais!;https://www.suno.com.br/noticias/banco-do-brasil-bbas3-xp-corta-preco-alvo-go/?__cf_chl_rt_tk=W_3PUocLc_zN2UliuUa8_o6tAXHOMvl10sGXWHRwemc-1758045536-1.0.1.1-VpLU9pFhXxyeY2zVNnscBdAfZ3BN8HJU9x4a2aEJ9OM;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
Xp Investimentos;Ibovespa atinge nova máxima de fechamento – juros nos EUA e no Brasil explicam ânimo;Ibovespa segue renovando máximas de olho nos juros aqui e no exterior;https://www.infomoney.com.br/mercados/espera-por-corte-de-juro-nos-eua-na-4a-e-ainda-em-2025-no-brasil-o-que-anima-a-bolsa-nesta-segunda/;;L0;N;"{""interesse"":""N"",""classificacao"":""L0""}";;;
